Name;Trace_id;Point_id;Start_x;Start_y;Start_z;End_x;End_y;End_z;Cost;Cost_Mode
measurements.Trace;239;55;790449;7.26497e+06;-59.0697;790449;7.26496e+06;-59.0728;200;4
measurements.Trace;239;56;790449;7.26496e+06;-59.0728;790449;7.26496e+06;-59.0932;198;4
measurements.Trace;239;57;790449;7.26496e+06;-59.0932;790449;7.26496e+06;-59.1149;85;4
measurements.Trace;239;58;790449;7.26496e+06;-59.1149;790449;7.26496e+06;-59.136;179;4
measurements.Trace;239;59;790449;7.26496e+06;-59.136;790449;7.26496e+06;-59.1307;228;4
measurements.Trace;239;60;790449;7.26496e+06;-59.1307;790449;7.26496e+06;-59.1353;252;4
measurements.Trace;239;61;790449;7.26496e+06;-59.1353;790449;7.26496e+06;-59.1301;234;4
measurements.Trace;239;62;790449;7.26496e+06;-59.1301;790449;7.26496e+06;-59.1438;151;4
measurements.Trace;239;63;790449;7.26496e+06;-59.1438;790449;7.26496e+06;-59.1314;111;4
measurements.Trace;239;64;790449;7.26496e+06;-59.1314;790449;7.26496e+06;-59.1195;131;4
measurements.Trace;239;65;790449;7.26496e+06;-59.1195;790449;7.26496e+06;-59.1293;236;4
measurements.Trace;239;66;790449;7.26496e+06;-59.1293;790449;7.26496e+06;-59.1323;294;4
measurements.Trace;239;67;790449;7.26496e+06;-59.1323;790449;7.26496e+06;-59.1387;191;4
measurements.Trace;239;68;790449;7.26496e+06;-59.1387;790449;7.26496e+06;-59.1662;85;4
measurements.Trace;239;69;790449;7.26496e+06;-59.1662;790449;7.26496e+06;-59.1543;114;4
measurements.Trace;239;70;790449;7.26496e+06;-59.1543;790449;7.26496e+06;-59.1372;189;4
measurements.Trace;239;71;790449;7.26496e+06;-59.1372;790449;7.26496e+06;-59.1385;180;4
measurements.Trace;239;72;790449;7.26496e+06;-59.1385;790449;7.26496e+06;-59.1468;113;4
measurements.Trace;239;73;790449;7.26496e+06;-59.1468;790449;7.26496e+06;-59.1593;234;4
measurements.Trace;239;74;790449;7.26496e+06;-59.1593;790449;7.26496e+06;-59.1559;213;4
measurements.Trace;239;75;790449;7.26496e+06;-59.1559;790449;7.26496e+06;-59.173;73;4
measurements.Trace;239;76;790449;7.26496e+06;-59.173;790449;7.26496e+06;-59.1956;267;4
measurements.Trace;239;77;790449;7.26496e+06;-59.1956;790449;7.26496e+06;-59.2109;184;4
measurements.Trace;239;78;790449;7.26496e+06;-59.2109;790449;7.26496e+06;-59.2125;177;4
measurements.Trace;239;79;790449;7.26496e+06;-59.2125;790449;7.26496e+06;-59.2181;140;4
measurements.Trace;239;80;790449;7.26496e+06;-59.2181;790449;7.26496e+06;-59.2342;319;4
measurements.Trace;239;81;790449;7.26496e+06;-59.2342;790449;7.26496e+06;-59.2603;257;4
measurements.Trace;239;82;790449;7.26496e+06;-59.2603;790449;7.26496e+06;-59.2823;216;4
measurements.Trace;239;83;790449;7.26496e+06;-59.2823;790449;7.26496e+06;-59.2704;269;4
measurements.Trace;239;84;790449;7.26496e+06;-59.2704;790449;7.26496e+06;-59.262;264;4
measurements.Trace;239;85;790449;7.26496e+06;-59.262;790449;7.26496e+06;-59.2741;354;4
measurements.Trace;239;86;790449;7.26496e+06;-59.2741;790449;7.26496e+06;-59.3002;282;4
measurements.Trace;239;87;790449;7.26496e+06;-59.3002;790449;7.26496e+06;-59.3122;154;4
measurements.Trace;239;88;790449;7.26496e+06;-59.3122;790449;7.26496e+06;-59.3144;199;4
measurements.Trace;239;89;790449;7.26496e+06;-59.3144;790449;7.26496e+06;-59.3161;211;4
measurements.Trace;239;90;790449;7.26496e+06;-59.3161;790449;7.26496e+06;-59.3138;253;4
measurements.Trace;239;91;790449;7.26496e+06;-59.3138;790449;7.26496e+06;-59.3256;280;4
measurements.Trace;239;92;790449;7.26496e+06;-59.3256;790449;7.26496e+06;-59.3273;452;4
measurements.Trace;239;93;790449;7.26496e+06;-59.3273;790449;7.26496e+06;-59.346;228;4
measurements.Trace;239;94;790449;7.26496e+06;-59.346;790449;7.26496e+06;-59.3435;223;4
measurements.Trace;239;95;790449;7.26496e+06;-59.3435;790449;7.26496e+06;-59.3722;288;4
measurements.Trace;239;96;790449;7.26496e+06;-59.3722;790449;7.26496e+06;-59.3943;311;4
measurements.Trace;239;97;790449;7.26496e+06;-59.3943;790449;7.26496e+06;-59.3972;283;4
measurements.Trace;239;98;790449;7.26496e+06;-59.3972;790449;7.26496e+06;-59.4028;270;4
measurements.Trace;239;99;790449;7.26496e+06;-59.4028;790449;7.26496e+06;-59.441;315;4
measurements.Trace;239;100;790449;7.26496e+06;-59.441;790449;7.26496e+06;-59.4466;155;4
measurements.Trace;239;101;790449;7.26496e+06;-59.4466;790449;7.26496e+06;-59.4584;428;4
measurements.Trace;239;102;790449;7.26496e+06;-59.4584;790449;7.26496e+06;-59.4798;508;4
measurements.Trace;239;103;790449;7.26496e+06;-59.4798;790449;7.26496e+06;-59.5038;333;4
measurements.Trace;239;104;790449;7.26496e+06;-59.5038;790449;7.26496e+06;-59.5286;446;4
measurements.Trace;239;105;790449;7.26496e+06;-59.5286;790449;7.26496e+06;-59.5508;388;4
measurements.Trace;239;106;790449;7.26496e+06;-59.5508;790449;7.26496e+06;-59.5699;272;4
measurements.Trace;239;107;790449;7.26496e+06;-59.5699;790449;7.26496e+06;-59.5829;279;4
